airfoil_id,name,geom_source,geom_source_url,family,is_generated
NACA_0006,NACA 0006,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_0009,NACA 0009,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_0015,NACA 0015,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_1410,NACA 1410,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_2412,NACA 2412,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_2421,NACA 2421,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_4421,NACA 4421,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_0008-34,NACA 0008-34,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_0008,NACA 0008,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_0010-34,NACA 0010-34,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_0010-34_a=0.8_c(li)=0.2,NACA 0010-34 a=0.8 c(li)=0.2,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_0010-35,NACA 0010-35,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_0010-64,NACA 0010-64,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_0010-65,NACA 0010-65,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_0010-66,NACA 0010-66,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_0010,NACA 0010,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_0012-34,NACA 0012-34,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_0012-64,NACA 0012-64,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_0012-64_a=0.8_c(li)=0.2,NACA 0012-64 a=0.8 c(li)=0.2,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_0018,NACA 0018,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_0021,NACA 0021,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_0024,NACA 0024,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_1408,NACA 1408,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_1412,NACA 1412,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_16-006,NACA 16-006,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_16-012,NACA 16-012,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_16-015,NACA 16-015,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_16-018,NACA 16-018,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_16-021,NACA 16-021,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_16009,NACA 16009,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_2.5411,NACA 2.5411,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_23012__12%,NACA 23012  12%,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_23015,NACA 23015,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_23018,NACA 23018,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_23021,NACA 23021,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_23024,NACA 23024,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_2408,NACA 2408,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_2410,NACA 2410,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_2415,NACA 2415,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_2418,NACA 2418,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_2424,NACA 2424,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_4412,NACA 4412,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_4415,NACA 4415,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_4418,NACA 4418,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_4424,NACA 4424,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_63(2)-615,NACA 63(2)-615,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_63(2)A-015,NACA 63(2)A-015,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_63(3)-018,NACA 63(3)-018,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_63(3)-218,NACA 63(3)-218,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_63(3)-618,NACA 63(3)-618,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_63(4)-221,NACA 63(4)-221,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_63(4)-421,NACA 63(4)-421,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
"NACA_63,3-418","NACA 63,3-418",UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_63-206,NACA 63-206,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_63-209,NACA 63-209,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_63A210,NACA 63A210,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64(1)-112,NACA 64(1)-112,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64(2)-215,NACA 64(2)-215,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64(2)-415,NACA 64(2)-415,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64(3)-218,NACA 64(3)-218,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64(3)-418,NACA 64(3)-418,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
NACA_64(3)-618,NACA 64(3)-618,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_database.html,naca,0
