airfoil_id,name,geom_source,geom_source_url,family,is_generated
ag17,ag17,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ah79100a,ah79100a,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ah93w145,ah93w145,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ah93w174,ah93w174,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
b540ols,b540ols,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ag14,ag14,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ag455ct02r,ag455ct02r,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ames03,ames03,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
as5046,as5046,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ah94156,ah94156,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ah82150f,ah82150f,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ah95160,ah95160,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ah94145,ah94145,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ah93k131,ah93k131,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ames02,ames02,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ah85l120,ah85l120,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ag45ct02r,ag45ct02r,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
30p-30n-flap,30p-30n-flap,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ag11,ag11,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ag16,ag16,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ag53,ag53,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ag13,ag13,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ah88k130,ah88k130,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
30p-30n-main,30p-30n-main,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
as5048,as5048,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
chen,chen,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ag38,ag38,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ah81k144,ah81k144,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ag46ct02r,ag46ct02r,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
ah79k135,ah79k135,UIUC Airfoil Coordinates Database,https://m-selig.ae.illinois.edu/ads/coord_seligFmt/,unknown,0
