anomaly_id,airfoil_id,version_id,alpha_deg,reynolds_number,rule,cl,cd,ld
1,ag17,ag17_v2,14,1000000,rule:extreme_ld,1.2942477866477806,0.0010871341611817598,1190.5134001500603
2,ah79100a,ah79100a_v4,14,1000000,rule:extreme_cl,5.831933866226492,0.04961187815389286,117.55116079532823
3,ah79100a,ah79100a_v4,14,1000000,rule:jump_cl,5.831933866226492,0.04961187815389286,117.55116079532823
4,ah79100a,ah79100a_v4,14,1000000,rule:jump_cl,5.831933866226492,0.04961187815389286,117.55116079532823
5,ah79100a,ah79100a_v5,16,100000,rule:negative_cd,1.1071375876706122,-0.05346742507816295,-20.70676839313115
6,ah93w145,ah93w145_v1,6,1000000,rule:extreme_ld,0.6748467083318798,0.00173007493006945,390.067907812981
7,ah93w145,ah93w145_v5,10,500000,rule:extreme_ld,1.0192309807416238,0.0015993628195753553,637.273149198403
8,ah93w174,ah93w174_v3,0,300000,rule:negative_cd,0.0,-0.007838299124286987,-0.0
9,ag14,ag14_v2,12,1000000,rule:negative_cd,1.3283855309187258,-0.04783087230545907,-27.77255498154721
10,ag14,ag14_v3,12,500000,rule:negative_cd,1.2748218490314633,-0.045943950298190234,-27.7473277930496
11,ag14,ag14_v5,12,100000,rule:negative_cd,1.1358605279251832,-0.04260216262079618,-26.662039155982065
12,ag455ct02r,ag455ct02r_v3,6,300000,rule:negative_cd,0.6111807044705864,-0.015963246610895005,-38.286741999804235
13,ag455ct02r,ag455ct02r_v5,0,500000,rule:negative_cd,0.0,-0.008240130762011296,-0.0
14,ames03,ames03_v3,16,300000,rule:extreme_cl,3.778051334084819,0.06169499931894602,61.23756180875118
15,ames03,ames03_v3,16,300000,rule:jump_cl,3.778051334084819,0.06169499931894602,61.23756180875118
16,as5046,as5046_v1,4,500000,rule:extreme_ld,0.44356440994222884,0.0003446977533037876,1286.8212968922617
17,as5046,as5046_v2,-4,500000,rule:extreme_ld,-0.4182783255033271,0.00025295747441453527,-1653.551951652836
18,as5046,as5046_v2,12,1000000,rule:negative_cd,1.275712255681641,-0.049374085293932606,-25.837688902733117
19,ah94156,ah94156_v2,2,1000000,rule:extreme_ld,0.22606461936371938,0.0006851606591003284,329.9439574662103
20,ah82150f,ah82150f_v4,2,1000000,rule:negative_cd,0.2147109014829435,-0.009665205199485343,-22.214831144441355
21,ah95160,ah95160_v4,-2,500000,rule:extreme_ld,-0.2135345898263726,0.0006338529893429258,-336.8834625955303
22,ah94145,ah94145_v3,8,500000,rule:negative_cd,0.7951425467024418,-0.025816920364804694,-30.799279521597466
23,ames02,ames02_v4,16,1000000,rule:negative_cd,1.2149117570658063,-0.060194566931725486,-20.18307995211256
24,ah85l120,ah85l120_v3,8,1000000,rule:negative_cd,0.9053737088447719,-0.025375211639512965,-35.67945448915866
25,ah85l120,ah85l120_v4,14,100000,rule:extreme_cl,4.399681120444738,0.052118142349322306,84.41745853019543
26,ah85l120,ah85l120_v4,14,100000,rule:jump_cl,4.399681120444738,0.052118142349322306,84.41745853019543
27,ah85l120,ah85l120_v4,14,100000,rule:jump_cl,4.399681120444738,0.052118142349322306,84.41745853019543
28,ag45ct02r,ag45ct02r_v1,4,100000,rule:negative_cd,0.38537728385107634,-0.012252347138971276,-31.45334354960442
29,ag45ct02r,ag45ct02r_v1,16,300000,rule:negative_cd,1.095561133233666,-0.05448102883524626,-20.109038993127413
30,ag45ct02r,ag45ct02r_v1,14,1000000,rule:negative_cd,1.2978395449975757,-0.054854427455515255,-23.659704516104405
31,30p-30n-flap,30p-30n-flap_v4,-4,500000,rule:negative_cd,-0.4146820756472976,-0.0130332279156517,31.817296400479794
32,ag11,ag11_v2,16,1000000,rule:negative_cd,1.168449002960116,-0.05775948446361301,-20.22956080392665
33,ag53,ag53_v2,14,500000,rule:negative_cd,1.216069711992648,-0.05531715208445904,-21.983592180160233
34,ag53,ag53_v3,6,500000,rule:extreme_ld,0.6329454953722052,0.0015791542231157949,400.8129707074172
35,ah88k130,ah88k130_v4,8,100000,rule:extreme_ld,0.7818588001429856,0.0005274599846591421,1482.3092232261797
36,ah88k130,ah88k130_v4,6,300000,rule:extreme_cl,3.0397985353021144,0.017111509459685804,177.64642812276657
37,ah88k130,ah88k130_v4,6,300000,rule:jump_cl,3.0397985353021144,0.017111509459685804,177.64642812276657
38,ah88k130,ah88k130_v4,6,300000,rule:jump_cl,3.0397985353021144,0.017111509459685804,177.64642812276657
39,as5048,as5048_v4,10,500000,rule:extreme_ld,1.056780407016721,0.0009095385044072854,1161.8863873227535
40,chen,chen_v1,2,300000,rule:extreme_ld,0.20267448121814682,0.0004736830560465279,427.86939205661383
