NACA 63,3-418
1.000000,0.000010
0.979082,0.004125
0.958182,0.008352
0.937294,0.012633
0.916420,0.016985
0.895566,0.021431
0.874736,0.025992
0.853930,0.030654
0.833142,0.035401
0.812367,0.040203
0.791600,0.045040
0.770833,0.049876
0.750057,0.054677
0.729272,0.059432
0.708466,0.064102
0.687637,0.068662
0.666781,0.073099
0.645893,0.077384
0.624971,0.081498
0.604013,0.085429
0.583019,0.089159
0.561987,0.092671
0.540917,0.095946
0.519807,0.098950
0.498657,0.101663
0.477471,0.104073
0.456248,0.106142
0.434993,0.107842
0.413710,0.109156
0.392407,0.110070
0.371089,0.110554
0.349766,0.110565
0.328448,0.110084
0.307147,0.109115
0.285872,0.107676
0.264634,0.105775
0.243443,0.103404
0.222312,0.100545
0.201256,0.097182
0.180292,0.093285
0.159440,0.088829
0.138723,0.083779
0.118178,0.078073
0.097858,0.071613
0.077836,0.064277
0.058225,0.055909
0.039228,0.046231
0.021300,0.034707
0.005938,0.019999
-0.000000,-0.000000
0.011459,-0.016522
0.028866,-0.027165
0.047758,-0.034945
0.067228,-0.041148
0.087002,-0.046309
0.106963,-0.050688
0.127050,-0.054450
0.147229,-0.057686
0.167474,-0.060471
0.187772,-0.062847
0.208111,-0.064840
0.228481,-0.066478
0.248876,-0.067778
0.269290,-0.068748
0.289716,-0.069393
0.310150,-0.069712
0.330586,-0.069699
0.351020,-0.069344
0.371444,-0.068644
0.391854,-0.067606
0.412246,-0.066251
0.432616,-0.064607
0.452963,-0.062700
0.473287,-0.060554
0.493586,-0.058190
0.513860,-0.055626
0.534112,-0.052884
0.554342,-0.049990
0.574553,-0.046962
0.594745,-0.043815
0.614922,-0.040570
0.635087,-0.037248
0.655242,-0.033873
0.675393,-0.030471
0.695545,-0.027073
0.715702,-0.023708
0.735869,-0.020404
0.756051,-0.017186
0.776250,-0.014081
0.796471,-0.011127
0.816718,-0.008354
0.836993,-0.005789
0.857296,-0.003460
0.877628,-0.001397
0.897984,0.000407
0.918367,0.001885
0.938784,0.002766
0.959218,0.002666
0.979625,0.001589
1.000000,0.000010
