# NACA_0010-34_a=0.8_c(li)=0.2
# Generated polar data using simplified physics model
# Re = 0.100 million, Mach = 0.00, Ncrit = 5.0
# alpha    CL          CD          CDp         CM       Top_Xtr   Bot_Xtr
  -5.00   -0.461491   +0.035682    0.000000    0.000000   0.000000   0.000000
  -4.50   -0.415442   +0.033690    0.000000    0.000000   0.000000   0.000000
  -4.00   -0.369361   +0.032066    0.000000    0.000000   0.000000   0.000000
  -3.50   -0.323253   +0.030809    0.000000    0.000000   0.000000   0.000000
  -3.00   -0.277119   +0.029920    0.000000    0.000000   0.000000   0.000000
  -2.50   -0.230965   +0.029273    0.000000    0.000000   0.000000   0.000000
  -2.00   -0.184793   +0.028743    0.000000    0.000000   0.000000   0.000000
  -1.50   -0.138607   +0.028332    0.000000    0.000000   0.000000   0.000000
  -1.00   -0.092411   +0.028037    0.000000    0.000000   0.000000   0.000000
  -0.50   -0.046207   +0.027861    0.000000    0.000000   0.000000   0.000000
  +0.00   +0.000000   +0.027802    0.000000    0.000000   0.000000   0.000000
  +0.50   +0.046207   +0.027861    0.000000    0.000000   0.000000   0.000000
  +1.00   +0.092411   +0.028037    0.000000    0.000000   0.000000   0.000000
  +1.50   +0.138607   +0.028332    0.000000    0.000000   0.000000   0.000000
  +2.00   +0.184793   +0.028743    0.000000    0.000000   0.000000   0.000000
  +2.50   +0.230965   +0.000412    0.000000    0.000000   0.000000   0.000000
  +3.00   +0.277119   +0.029920    0.000000    0.000000   0.000000   0.000000
  +3.50   +0.323253   +0.030684    0.000000    0.000000   0.000000   0.000000
  +4.00   +0.369361   +0.031566    0.000000    0.000000   0.000000   0.000000
  +4.50   +0.415442   +0.032565    0.000000    0.000000   0.000000   0.000000
  +5.00   +0.461491   +0.033682    0.000000    0.000000   0.000000   0.000000
  +5.50   +0.507504   +0.034915    0.000000    0.000000   0.000000   0.000000
  +6.00   +0.553479   +0.036265    0.000000    0.000000   0.000000   0.000000
  +6.50   +0.599412   +0.037732    0.000000    0.000000   0.000000   0.000000
  +7.00   +0.645300   +0.039316    0.000000    0.000000   0.000000   0.000000
  +7.50   +0.691138   +0.041016    0.000000    0.000000   0.000000   0.000000
  +8.00   +0.736923   +0.042833    0.000000    0.000000   0.000000   0.000000
  +8.50   +0.782653   +0.044765    0.000000    0.000000   0.000000   0.000000
  +9.00   +0.828322   +0.046813    0.000000    0.000000   0.000000   0.000000
  +9.50   +0.873929   +0.048977    0.000000    0.000000   0.000000   0.000000
 +10.00   +0.919469   +0.051256    0.000000    0.000000   0.000000   0.000000
 +10.50   +0.964939   +0.053651    0.000000    0.000000   0.000000   0.000000
 +11.00   +1.010336   +0.056160    0.000000    0.000000   0.000000   0.000000
 +11.50   +1.055656   +0.058784    0.000000    0.000000   0.000000   0.000000
 +12.00   +1.100895   +0.061522    0.000000    0.000000   0.000000   0.000000
 +12.50   +1.146050   +0.064374    0.000000    0.000000   0.000000   0.000000
 +13.00   +1.191118   +0.067340    0.000000    0.000000   0.000000   0.000000
 +13.50   +1.236096   +0.070419    0.000000    0.000000   0.000000   0.000000
 +14.00   +1.280979   +0.073611    0.000000    0.000000   0.000000   0.000000
 +14.50   +1.325765   +0.077166    0.000000    0.000000   0.000000   0.000000
 +15.00   +1.332271   +0.080301    0.000000    0.000000   0.000000   0.000000
 +15.50   +1.341680   +0.084091    0.000000    0.000000   0.000000   0.000000
 +16.00   +1.353726   +0.088528    0.000000    0.000000   0.000000   0.000000
 +16.50   +1.368159   +0.093608    0.000000    0.000000   0.000000   0.000000
 +17.00   +1.384744   +0.099327    0.000000    0.000000   0.000000   0.000000
 +17.50   +1.403264   +0.105681    0.000000    0.000000   0.000000   0.000000
 +18.00   +1.423516   +0.112666    0.000000    0.000000   0.000000   0.000000
 +18.50   +1.445315   +0.120279    0.000000    0.000000   0.000000   0.000000
 +19.00   +1.468490   +0.128517    0.000000    0.000000   0.000000   0.000000
 +19.50   +1.492886   +0.137377    0.000000    0.000000   0.000000   0.000000
 +20.00   +1.518361   +0.146856    0.000000    0.000000   0.000000   0.000000
