# NACA_16-006
# Generated polar data using simplified physics model
# Re = 0.100 million, Mach = 0.00, Ncrit = 5.0
# alpha    CL          CD          CDp         CM       Top_Xtr   Bot_Xtr
  -5.00   -0.469556   +0.035757    0.000000    0.000000   0.000000   0.000000
  -4.50   -0.422702   +0.033751    0.000000    0.000000   0.000000   0.000000
  -4.00   -0.375816   +0.032114    0.000000    0.000000   0.000000   0.000000
  -3.50   -0.328902   +0.030846    0.000000    0.000000   0.000000   0.000000
  -3.00   -0.281962   +0.029947    0.000000    0.000000   0.000000   0.000000
  -2.50   -0.235001   +0.029292    0.000000    0.000000   0.000000   0.000000
  -2.00   -0.188023   +0.028756    0.000000    0.000000   0.000000   0.000000
  -1.50   -0.141030   +0.028338    0.000000    0.000000   0.000000   0.000000
  -1.00   -0.094026   +0.028040    0.000000    0.000000   0.000000   0.000000
  -0.50   -0.047015   +0.027862    0.000000    0.000000   0.000000   0.000000
  +0.00   +0.000000   +0.027802    0.000000    0.000000   0.000000   0.000000
  +0.50   +0.047015   +0.027862    0.000000    0.000000   0.000000   0.000000
  +1.00   +0.094026   +0.028040    0.000000    0.000000   0.000000   0.000000
  +1.50   +0.141030   +0.028338    0.000000    0.000000   0.000000   0.000000
  +2.00   +0.188023   +0.028756    0.000000    0.000000   0.000000   0.000000
  +2.50   +0.235001   +0.029292    0.000000    0.000000   0.000000   0.000000
  +3.00   +0.281962   +0.029947    0.000000    0.000000   0.000000   0.000000
  +3.50   +0.328902   +0.030721    0.000000    0.000000   0.000000   0.000000
  +4.00   +0.375816   +0.031614    0.000000    0.000000   0.000000   0.000000
  +4.50   +0.422702   +0.032626    0.000000    0.000000   0.000000   0.000000
  +5.00   +0.469556   +0.033757    0.000000    0.000000   0.000000   0.000000
  +5.50   +2.325388   +0.035006    0.000000    0.000000   0.000000   0.000000
  +6.00   +0.563152   +0.036373    0.000000    0.000000   0.000000   0.000000
  +6.50   +0.609887   +0.037859    0.000000    0.000000   0.000000   0.000000
  +7.00   +0.656577   +0.039463    0.000000    0.000000   0.000000   0.000000
  +7.50   +0.703216   +0.041185    0.000000    0.000000   0.000000   0.000000
  +8.00   +0.749801   +0.043024    0.000000    0.000000   0.000000   0.000000
  +8.50   +0.796330   +0.044981    0.000000    0.000000   0.000000   0.000000
  +9.00   +0.842798   +0.047055    0.000000    0.000000   0.000000   0.000000
  +9.50   +0.889202   +0.049246    0.000000    0.000000   0.000000   0.000000
 +10.00   +0.935538   +0.051554    0.000000    0.000000   0.000000   0.000000
 +10.50   +0.981802   +0.053979    0.000000    0.000000   0.000000   0.000000
 +11.00   +1.027992   +0.056520    0.000000    0.000000   0.000000   0.000000
 +11.50   +1.074104   +0.059176    0.000000    0.000000   0.000000   0.000000
 +12.00   +1.120134   +0.061949    0.000000    0.000000   0.000000   0.000000
 +12.50   +1.166078   +0.064837    0.000000    0.000000   0.000000   0.000000
 +13.00   +1.211934   +0.067840    0.000000    0.000000   0.000000   0.000000
 +13.50   +1.257698   +0.070958    0.000000    0.000000   0.000000   0.000000
 +14.00   +1.303365   +0.074190    0.000000    0.000000   0.000000   0.000000
 +14.50   +1.348934   +0.077786    0.000000    0.000000   0.000000   0.000000
 +15.00   +1.378159   +0.081545    0.000000    0.000000   0.000000   0.000000
 +15.50   +1.385216   +0.085278    0.000000    0.000000   0.000000   0.000000
 +16.00   +1.395218   +0.089668    0.000000    0.000000   0.000000   0.000000
 +16.50   +1.407886   +0.094711    0.000000    0.000000   0.000000   0.000000
 +17.00   +1.422958   +0.100400    0.000000    0.000000   0.000000   0.000000
 +17.50   +1.440193   +0.106731    0.000000    0.000000   0.000000   0.000000
 +18.00   +1.459366   +0.113699    0.000000    0.000000   0.000000   0.000000
 +18.50   +1.480270   +0.121301    0.000000    0.000000   0.000000   0.000000
 +19.00   +1.502717   +0.129534    0.000000    0.000000   0.000000   0.000000
 +19.50   +1.526533   +0.138393    0.000000    0.000000   0.000000   0.000000
 +20.00   +1.551561   +0.147875    0.000000    0.000000   0.000000   0.000000
