# NACA_2.5411
# Generated polar data using simplified physics model
# Re = 0.070 million, Mach = 0.00, Ncrit = 5.0
# alpha    CL          CD          CDp         CM       Top_Xtr   Bot_Xtr
  -5.00   -0.424265   +0.043719    0.000000    0.000000   0.000000   0.000000
  -4.50   -0.381931   +0.041790    0.000000    0.000000   0.000000   0.000000
  -4.00   -0.339567   +0.040222    0.000000    0.000000   0.000000   0.000000
  -3.50   -0.297178   +0.039015    0.000000    0.000000   0.000000   0.000000
  -3.00   -0.254766   +0.038168    0.000000    0.000000   0.000000   0.000000
  -2.50   -0.212335   +0.037557    0.000000    0.000000   0.000000   0.000000
  -2.00   -0.169887   +0.037058    0.000000    0.000000   0.000000   0.000000
  -1.50   -0.127427   +0.036669    0.000000    0.000000   0.000000   0.000000
  -1.00   -0.084957   +0.036391    0.000000    0.000000   0.000000   0.000000
  -0.50   -0.042480   +0.036225    0.000000    0.000000   0.000000   0.000000
  +0.00   +0.000000   +0.036169    0.000000    0.000000   0.000000   0.000000
  +0.50   +0.042480   +0.036225    0.000000    0.000000   0.000000   0.000000
  +1.00   +0.084957   +0.036391    0.000000    0.000000   0.000000   0.000000
  +1.50   +0.127427   +0.036669    0.000000    0.000000   0.000000   0.000000
  +2.00   +0.169887   +0.037058    0.000000    0.000000   0.000000   0.000000
  +2.50   +0.212335   +0.037557    0.000000    0.000000   0.000000   0.000000
  +3.00   +0.254766   +0.038168    0.000000    0.000000   0.000000   0.000000
  +3.50   +0.297178   +0.038890    0.000000    0.000000   0.000000   0.000000
  +4.00   +0.339567   +0.039722    0.000000    0.000000   0.000000   0.000000
  +4.50   +0.381931   +0.040665    0.000000    0.000000   0.000000   0.000000
  +5.00   +0.424265   +0.041719    0.000000    0.000000   0.000000   0.000000
  +5.50   +0.466567   +0.042883    0.000000    0.000000   0.000000   0.000000
  +6.00   +0.508834   +0.044158    0.000000    0.000000   0.000000   0.000000
  +6.50   +0.551062   +0.045543    0.000000    0.000000   0.000000   0.000000
  +7.00   +0.593248   +0.047038    0.000000    0.000000   0.000000   0.000000
  +7.50   +0.635388   +0.048644    0.000000    0.000000   0.000000   0.000000
  +8.00   +0.677480   +0.050359    0.000000    0.000000   0.000000   0.000000
  +8.50   +0.719521   +0.002256    0.000000    0.000000   0.000000   0.000000
  +9.00   +0.761507   +0.054118    0.000000    0.000000   0.000000   0.000000
  +9.50   +0.803435   +0.056162    0.000000    0.000000   0.000000   0.000000
 +10.00   +0.845302   +0.058314    0.000000    0.000000   0.000000   0.000000
 +10.50   +0.887104   +0.060576    0.000000    0.000000   0.000000   0.000000
 +11.00   +0.928839   +0.062946    0.000000    0.000000   0.000000   0.000000
 +11.50   +0.970503   +0.065425    0.000000    0.000000   0.000000   0.000000
 +12.00   +1.012093   +0.068012    0.000000    0.000000   0.000000   0.000000
 +12.50   +1.053606   +0.070707    0.000000    0.000000   0.000000   0.000000
 +13.00   +1.095039   +0.073510    0.000000    0.000000   0.000000   0.000000
 +13.50   +1.136388   +0.076420    0.000000    0.000000   0.000000   0.000000
 +14.00   +1.177651   +0.079438    0.000000    0.000000   0.000000   0.000000
 +14.50   +1.218824   +0.082812    0.000000    0.000000   0.000000   0.000000
 +15.00   +1.227819   +0.085994    0.000000    0.000000   0.000000   0.000000
 +15.50   +1.236134   +0.089737    0.000000    0.000000   0.000000   0.000000
 +16.00   +1.246908   +0.094117    0.000000    0.000000   0.000000   0.000000
 +16.50   +1.259908   +0.099130    0.000000    0.000000   0.000000   0.000000
 +17.00   +1.274915   +0.104773    0.000000    0.000000   0.000000   0.000000
 +17.50   +1.291726   +0.111042    0.000000    0.000000   0.000000   0.000000
 +18.00   +1.310153   +0.117934    0.000000    0.000000   0.000000   0.000000
 +18.50   +1.330024   +0.125446    0.000000    0.000000   0.000000   0.000000
 +19.00   +1.351178   +0.133576    0.000000    0.000000   0.000000   0.000000
 +19.50   +1.373472   +0.142321    0.000000    0.000000   0.000000   0.000000
 +20.00   +1.396773   +0.151679    0.000000    0.000000   0.000000   0.000000
