# NACA_23012__12%
# Generated polar data using simplified physics model
# Re = 0.100 million, Mach = 0.00, Ncrit = 5.0
# alpha    CL          CD          CDp         CM       Top_Xtr   Bot_Xtr
  -5.00   -0.464179   +0.035707    0.000000    0.000000   0.000000   0.000000
  -4.50   -0.417862   +0.033711    0.000000    0.000000   0.000000   0.000000
  -4.00   -0.371513   +0.032082    0.000000    0.000000   0.000000   0.000000
  -3.50   -0.325136   +0.030822    0.000000    0.000000   0.000000   0.000000
  -3.00   -0.278734   +0.029929    0.000000    0.000000   0.000000   0.000000
  -2.50   -0.232311   +0.029279    0.000000    0.000000   0.000000   0.000000
  -2.00   -0.185870   +0.028747    0.000000    0.000000   0.000000   0.000000
  -1.50   -0.139415   +0.028334    0.000000    0.000000   0.000000   0.000000
  -1.00   -0.092949   +0.028038    0.000000    0.000000   0.000000   0.000000
  -0.50   -0.046476   +0.027861    0.000000    0.000000   0.000000   0.000000
  +0.00   +0.000000   +0.027802    0.000000    0.000000   0.000000   0.000000
  +0.50   +0.046476   +0.027861    0.000000    0.000000   0.000000   0.000000
  +1.00   +0.092949   +0.028038    0.000000    0.000000   0.000000   0.000000
  +1.50   +0.139415   +0.028334    0.000000    0.000000   0.000000   0.000000
  +2.00   +0.185870   +0.028747    0.000000    0.000000   0.000000   0.000000
  +2.50   +0.232311   +0.000651    0.000000    0.000000   0.000000   0.000000
  +3.00   +0.278734   +0.029929    0.000000    0.000000   0.000000   0.000000
  +3.50   +0.325136   +0.030697    0.000000    0.000000   0.000000   0.000000
  +4.00   +0.371513   +0.031582    0.000000    0.000000   0.000000   0.000000
  +4.50   +0.417862   +0.032586    0.000000    0.000000   0.000000   0.000000
  +5.00   +0.464179   +0.033707    0.000000    0.000000   0.000000   0.000000
  +5.50   +0.510461   +0.034945    0.000000    0.000000   0.000000   0.000000
  +6.00   +0.556704   +0.036301    0.000000    0.000000   0.000000   0.000000
  +6.50   +0.602904   +0.037774    0.000000    0.000000   0.000000   0.000000
  +7.00   +0.649059   +0.039365    0.000000    0.000000   0.000000   0.000000
  +7.50   +0.695164   +0.041072    0.000000    0.000000   0.000000   0.000000
  +8.00   +0.741216   +0.042896    0.000000    0.000000   0.000000   0.000000
  +8.50   +0.787212   +0.044837    0.000000    0.000000   0.000000   0.000000
  +9.00   +0.833147   +0.046893    0.000000    0.000000   0.000000   0.000000
  +9.50   +0.879020   +0.049066    0.000000    0.000000   0.000000   0.000000
 +10.00   +0.924825   +0.051355    0.000000    0.000000   0.000000   0.000000
 +10.50   +0.970560   +0.053759    0.000000    0.000000   0.000000   0.000000
 +11.00   +1.016221   +0.056279    0.000000    0.000000   0.000000   0.000000
 +11.50   +1.061805   +0.058914    0.000000    0.000000   0.000000   0.000000
 +12.00   +1.107308   +0.061663    0.000000    0.000000   0.000000   0.000000
 +12.50   +1.152726   +0.064527    0.000000    0.000000   0.000000   0.000000
 +13.00   +1.198057   +0.067505    0.000000    0.000000   0.000000   0.000000
 +13.50   +1.243296   +0.070597    0.000000    0.000000   0.000000   0.000000
 +14.00   +1.288441   +0.073803    0.000000    0.000000   0.000000   0.000000
 +14.50   +1.333488   +0.077371    0.000000    0.000000   0.000000   0.000000
 +15.00   +1.347141   +0.080700    0.000000    0.000000   0.000000   0.000000
 +15.50   +1.355814   +0.084472    0.000000    0.000000   0.000000   0.000000
 +16.00   +1.367221   +0.088895    0.000000    0.000000   0.000000   0.000000
 +16.50   +1.381103   +0.093964    0.000000    0.000000   0.000000   0.000000
 +17.00   +1.397218   +0.099674    0.000000    0.000000   0.000000   0.000000
 +17.50   +1.415340   +0.106021    0.000000    0.000000   0.000000   0.000000
 +18.00   +1.435259   +0.113002    0.000000    0.000000   0.000000   0.000000
 +18.50   +1.456784   +0.120612    0.000000    0.000000   0.000000   0.000000
 +19.00   +1.479738   +0.128848    0.000000    0.000000   0.000000   0.000000
 +19.50   +1.503959   +0.137708    0.000000    0.000000   0.000000   0.000000
 +20.00   +1.529302   +0.147190    0.000000    0.000000   0.000000   0.000000
