# NACA_65(4)-421
# Generated polar data using simplified physics model
# Re = 0.070 million, Mach = 0.00, Ncrit = 5.0
# alpha    CL          CD          CDp         CM       Top_Xtr   Bot_Xtr
  -5.00   -0.490801   +0.044328    0.000000    0.000000   0.000000   0.000000
  -4.50   -0.441827   +0.042284    0.000000    0.000000   0.000000   0.000000
  -4.00   -0.392820   +0.040612    0.000000    0.000000   0.000000   0.000000
  -3.50   -0.343783   +0.039313    0.000000    0.000000   0.000000   0.000000
  -3.00   -0.294720   +0.038388    0.000000    0.000000   0.000000   0.000000
  -2.50   -0.245634   +0.037710    0.000000    0.000000   0.000000   0.000000
  -2.00   -0.196530   +0.037155    0.000000    0.000000   0.000000   0.000000
  -1.50   -0.147410   +0.036724    0.000000    0.000000   0.000000   0.000000
  -1.00   -0.098280   +0.036416    0.000000    0.000000   0.000000   0.000000
  -0.50   -0.049142   +0.036231    0.000000    0.000000   0.000000   0.000000
  +0.00   +0.000000   +0.036169    0.000000    0.000000   0.000000   0.000000
  +0.50   +0.049142   +0.036231    0.000000    0.000000   0.000000   0.000000
  +1.00   +0.098280   +0.036416    0.000000    0.000000   0.000000   0.000000
  +1.50   +0.147410   +0.036724    0.000000    0.000000   0.000000   0.000000
  +2.00   +0.196530   +0.037155    0.000000    0.000000   0.000000   0.000000
  +2.50   +0.245634   +0.037710    0.000000    0.000000   0.000000   0.000000
  +3.00   +0.294720   +0.038388    0.000000    0.000000   0.000000   0.000000
  +3.50   +0.343783   +0.039188    0.000000    0.000000   0.000000   0.000000
  +4.00   +0.392820   +0.040112    0.000000    0.000000   0.000000   0.000000
  +4.50   +0.441827   +0.041159    0.000000    0.000000   0.000000   0.000000
  +5.00   +0.490801   +0.042328    0.000000    0.000000   0.000000   0.000000
  +5.50   +0.539737   +0.043620    0.000000    0.000000   0.000000   0.000000
  +6.00   +0.588632   +0.045034    0.000000    0.000000   0.000000   0.000000
  +6.50   +0.637482   +0.046570    0.000000    0.000000   0.000000   0.000000
  +7.00   +0.686283   +0.048229    0.000000    0.000000   0.000000   0.000000
  +7.50   +0.735033   +0.050009    0.000000    0.000000   0.000000   0.000000
  +8.00   +0.783726   +0.051911    0.000000    0.000000   0.000000   0.000000
  +8.50   +0.832360   +0.053935    0.000000    0.000000   0.000000   0.000000
  +9.00   +0.880930   +0.056079    0.000000    0.000000   0.000000   0.000000
  +9.50   +0.929433   +0.058345    0.000000    0.000000   0.000000   0.000000
 +10.00   +0.977866   +0.060731    0.000000    0.000000   0.000000   0.000000
 +10.50   +1.026224   +0.063238    0.000000    0.000000   0.000000   0.000000
 +11.00   +1.074504   +0.065865    0.000000    0.000000   0.000000   0.000000
 +11.50   +1.122702   +0.068611    0.000000    0.000000   0.000000   0.000000
 +12.00   +1.170814   +0.071477    0.000000    0.000000   0.000000   0.000000
 +12.50   +1.218837   +0.074462    0.000000    0.000000   0.000000   0.000000
 +13.00   +1.266768   +0.077566    0.000000    0.000000   0.000000   0.000000
 +13.50   +1.314602   +0.080788    0.000000    0.000000   0.000000   0.000000
 +14.00   +1.362336   +0.084129    0.000000    0.000000   0.000000   0.000000
 +14.50   +1.409966   +0.087837    0.000000    0.000000   0.000000   0.000000
 +15.00   +1.457489   +0.092162    0.000000    0.000000   0.000000   0.000000
 +15.50   +1.504901   +0.097104    0.000000    0.000000   0.000000   0.000000
 +16.00   +1.552198   +0.102662    0.000000    0.000000   0.000000   0.000000
 +16.50   +1.599377   +0.108837    0.000000    0.000000   0.000000   0.000000
 +17.00   +1.646434   +0.115626    0.000000    0.000000   0.000000   0.000000
 +17.50   +1.668895   +0.003313    0.000000    0.000000   0.000000   0.000000
 +18.00   +1.670046   +0.128660    0.000000    0.000000   0.000000   0.000000
 +18.50   +1.675086   +0.135816    0.000000    0.000000   0.000000   0.000000
 +19.00   +1.683607   +0.143664    0.000000    0.000000   0.000000   0.000000
 +19.50   +1.695234   +0.152195    0.000000    0.000000   0.000000   0.000000
 +20.00   +1.709626   +0.161397    0.000000    0.000000   0.000000   0.000000
