# NACA_67,1-215
# Generated polar data using simplified physics model
# Re = 0.050 million, Mach = 0.00, Ncrit = 5.0
# alpha    CL          CD          CDp         CM       Top_Xtr   Bot_Xtr
  -5.00   -0.438458   +0.054888    0.000000    0.000000   0.000000   0.000000
  -4.50   -0.394707   +0.052936    0.000000    0.000000   0.000000   0.000000
  -4.00   -0.350926   +0.051347    0.000000    0.000000   0.000000   0.000000
  -3.50   -0.307119   +0.050121    0.000000    0.000000   0.000000   0.000000
  -3.00   -0.263288   +0.049259    0.000000    0.000000   0.000000   0.000000
  -2.50   -0.219438   +0.048635    0.000000    0.000000   0.000000   0.000000
  -2.00   -0.175570   +0.048124    0.000000    0.000000   0.000000   0.000000
  -1.50   -0.131689   +0.047727    0.000000    0.000000   0.000000   0.000000
  -1.00   -0.087798   +0.047443    0.000000    0.000000   0.000000   0.000000
  -0.50   -0.043901   +0.047272    0.000000    0.000000   0.000000   0.000000
  +0.00   +0.000000   +0.047216    0.000000    0.000000   0.000000   0.000000
  +0.50   +0.043901   +0.047272    0.000000    0.000000   0.000000   0.000000
  +1.00   +0.087798   +0.047443    0.000000    0.000000   0.000000   0.000000
  +1.50   +0.131689   +0.047727    0.000000    0.000000   0.000000   0.000000
  +2.00   +0.175570   +0.048124    0.000000    0.000000   0.000000   0.000000
  +2.50   +0.219438   +0.048635    0.000000    0.000000   0.000000   0.000000
  +3.00   +0.263288   +0.049259    0.000000    0.000000   0.000000   0.000000
  +3.50   +0.307119   +0.049996    0.000000    0.000000   0.000000   0.000000
  +4.00   +0.350926   +0.050847    0.000000    0.000000   0.000000   0.000000
  +4.50   +0.394707   +0.051811    0.000000    0.000000   0.000000   0.000000
  +5.00   +0.438458   +0.052888    0.000000    0.000000   0.000000   0.000000
  +5.50   +0.482175   +0.054078    0.000000    0.000000   0.000000   0.000000
  +6.00   +0.525855   +0.055381    0.000000    0.000000   0.000000   0.000000
  +6.50   +0.569496   +0.056796    0.000000    0.000000   0.000000   0.000000
  +7.00   +0.613093   +0.058325    0.000000    0.000000   0.000000   0.000000
  +7.50   +0.656643   +0.059965    0.000000    0.000000   0.000000   0.000000
  +8.00   +0.700143   +0.061718    0.000000    0.000000   0.000000   0.000000
  +8.50   +0.743590   +0.063582    0.000000    0.000000   0.000000   0.000000
  +9.00   +0.786981   +0.065559    0.000000    0.000000   0.000000   0.000000
  +9.50   +0.830311   +0.067647    0.000000    0.000000   0.000000   0.000000
 +10.00   +0.873578   +0.069847    0.000000    0.000000   0.000000   0.000000
 +10.50   +0.916779   +0.072158    0.000000    0.000000   0.000000   0.000000
 +11.00   +0.959910   +0.074580    0.000000    0.000000   0.000000   0.000000
 +11.50   +1.002968   +0.077113    0.000000    0.000000   0.000000   0.000000
 +12.00   +1.045949   +0.079756    0.000000    0.000000   0.000000   0.000000
 +12.50   +1.088851   +0.082509    0.000000    0.000000   0.000000   0.000000
 +13.00   +1.131670   +0.085372    0.000000    0.000000   0.000000   0.000000
 +13.50   +1.174402   +0.088345    0.000000    0.000000   0.000000   0.000000
 +14.00   +1.217045   +0.091428    0.000000    0.000000   0.000000   0.000000
 +14.50   +1.259596   +0.094869    0.000000    0.000000   0.000000   0.000000
 +15.00   +1.302051   +0.098919    0.000000    0.000000   0.000000   0.000000
 +15.50   +1.344406   +0.103577    0.000000    0.000000   0.000000   0.000000
 +16.00   +1.386659   +0.108844    0.000000    0.000000   0.000000   0.000000
 +16.50   +1.428807   +0.114718    0.000000    0.000000   0.000000   0.000000
 +17.00   +1.470845   +0.121200    0.000000    0.000000   0.000000   0.000000
 +17.50   +1.499459   +0.127887    0.000000    0.000000   0.000000   0.000000
 +18.00   +1.499500   +0.134301    0.000000    0.000000   0.000000   0.000000
 +18.50   +1.503124   +0.141397    0.000000    0.000000   0.000000   0.000000
 +19.00   +1.509955   +0.149165    0.000000    0.000000   0.000000   0.000000
 +19.50   +1.519648   +0.157596    0.000000    0.000000   0.000000   0.000000
 +20.00   +1.531890   +0.166683    0.000000    0.000000   0.000000   0.000000
