# NACA_747A315
# Generated polar data using simplified physics model
# Re = 0.050 million, Mach = 0.00, Ncrit = 5.0
# alpha    CL          CD          CDp         CM       Top_Xtr   Bot_Xtr
  -5.00   -0.416553   +0.054701    0.000000    0.000000   0.000000   0.000000
  -4.50   -0.374988   +0.052784    0.000000    0.000000   0.000000   0.000000
  -4.00   -0.333395   +0.051227    0.000000    0.000000   0.000000   0.000000
  -3.50   -0.291776   +0.050030    0.000000    0.000000   0.000000   0.000000
  -3.00   -0.250135   +0.049191    0.000000    0.000000   0.000000   0.000000
  -2.50   -0.208475   +0.048588    0.000000    0.000000   0.000000   0.000000
  -2.00   -0.166799   +0.048094    0.000000    0.000000   0.000000   0.000000
  -1.50   -0.125110   +0.047710    0.000000    0.000000   0.000000   0.000000
  -1.00   -0.083412   +0.047435    0.000000    0.000000   0.000000   0.000000
  -0.50   -0.041708   +0.047271    0.000000    0.000000   0.000000   0.000000
  +0.00   +0.000000   +0.047216    0.000000    0.000000   0.000000   0.000000
  +0.50   +0.041708   +0.047271    0.000000    0.000000   0.000000   0.000000
  +1.00   +0.083412   +0.047435    0.000000    0.000000   0.000000   0.000000
  +1.50   +0.125110   +0.047710    0.000000    0.000000   0.000000   0.000000
  +2.00   +0.166799   +0.048094    0.000000    0.000000   0.000000   0.000000
  +2.50   +0.208475   +0.048588    0.000000    0.000000   0.000000   0.000000
  +3.00   +0.250135   +0.049191    0.000000    0.000000   0.000000   0.000000
  +3.50   +0.291776   +0.049905    0.000000    0.000000   0.000000   0.000000
  +4.00   +0.333395   +0.050727    0.000000    0.000000   0.000000   0.000000
  +4.50   +0.374988   +0.051659    0.000000    0.000000   0.000000   0.000000
  +5.00   +0.416553   +0.052701    0.000000    0.000000   0.000000   0.000000
  +5.50   +0.458086   +0.002562    0.000000    0.000000   0.000000   0.000000
  +6.00   +0.499584   +0.055112    0.000000    0.000000   0.000000   0.000000
  +6.50   +0.541045   +0.056480    0.000000    0.000000   0.000000   0.000000
  +7.00   +0.582464   +0.057958    0.000000    0.000000   0.000000   0.000000
  +7.50   +0.623838   +0.059545    0.000000    0.000000   0.000000   0.000000
  +8.00   +0.665165   +0.061240    0.000000    0.000000   0.000000   0.000000
  +8.50   +0.706442   +0.063044    0.000000    0.000000   0.000000   0.000000
  +9.00   +0.747664   +0.064956    0.000000    0.000000   0.000000   0.000000
  +9.50   +0.788830   +0.066976    0.000000    0.000000   0.000000   0.000000
 +10.00   +0.829936   +0.069104    0.000000    0.000000   0.000000   0.000000
 +10.50   +0.870978   +0.071339    0.000000    0.000000   0.000000   0.000000
 +11.00   +0.911954   +0.073682    0.000000    0.000000   0.000000   0.000000
 +11.50   +0.952861   +0.076133    0.000000    0.000000   0.000000   0.000000
 +12.00   +0.993695   +0.078690    0.000000    0.000000   0.000000   0.000000
 +12.50   +1.034454   +0.081354    0.000000    0.000000   0.000000   0.000000
 +13.00   +1.075133   +0.084125    0.000000    0.000000   0.000000   0.000000
 +13.50   +1.115731   +0.087002    0.000000    0.000000   0.000000   0.000000
 +14.00   +1.156244   +0.089985    0.000000    0.000000   0.000000   0.000000
 +14.50   +1.196669   +0.093323    0.000000    0.000000   0.000000   0.000000
 +15.00   +1.237002   +0.097267    0.000000    0.000000   0.000000   0.000000
 +15.50   +1.277242   +0.101817    0.000000    0.000000   0.000000   0.000000
 +16.00   +1.317384   +0.106971    0.000000    0.000000   0.000000   0.000000
 +16.50   +1.345480   +0.112406    0.000000    0.000000   0.000000   0.000000
 +17.00   +1.347851   +0.117733    0.000000    0.000000   0.000000   0.000000
 +17.50   +1.353327   +0.123718    0.000000    0.000000   0.000000   0.000000
 +18.00   +1.361592   +0.130355    0.000000    0.000000   0.000000   0.000000
 +18.50   +1.372356   +0.137637    0.000000    0.000000   0.000000   0.000000
 +19.00   +1.385353   +0.145558    0.000000    0.000000   0.000000   0.000000
 +19.50   +1.400340   +0.154113    0.000000    0.000000   0.000000   0.000000
 +20.00   +1.417095   +0.163297    0.000000    0.000000   0.000000   0.000000
